Dataset,Model,Accuracy
Breast Cancer,VQNN (Our),0.9374507122951685
Breast Cancer,SVM (Baseline),0.9824561403508771
Breast Cancer,VQNN (Our),0.9279260354824322
Breast Cancer,SVM (Baseline),0.9649122807017544
Breast Cancer,VQNN (Our),0.9133217982292963
Breast Cancer,SVM (Baseline),0.956140350877193
Breast Cancer,VQNN (Our),0.9347835327703408
Breast Cancer,SVM (Baseline),0.9736842105263158
Breast Cancer,VQNN (Our),0.9536881922326109
Breast Cancer,SVM (Baseline),0.9385964912280702
Breast Cancer,VQNN (Our),0.9415115209372937
Breast Cancer,SVM (Baseline),0.9736842105263158
Breast Cancer,VQNN (Our),0.9212868279896473
Breast Cancer,SVM (Baseline),0.9736842105263158
Breast Cancer,VQNN (Our),0.9221224528923279
Breast Cancer,SVM (Baseline),0.9824561403508771
Breast Cancer,VQNN (Our),0.9336294340734905
Breast Cancer,SVM (Baseline),0.9824561403508771
Breast Cancer,VQNN (Our),0.901300796330133
Breast Cancer,SVM (Baseline),0.9736842105263158
Wine,VQNN (Our),0.9822466762142699
Wine,SVM (Baseline),0.9615384615384616
Wine,VQNN (Our),0.9471418600357621
Wine,SVM (Baseline),0.9615384615384616
Wine,VQNN (Our),0.9563796388671818
Wine,SVM (Baseline),1.0
Wine,VQNN (Our),0.9488154444799706
Wine,SVM (Baseline),0.9615384615384616
Wine,VQNN (Our),0.9605578755861363
Wine,SVM (Baseline),0.9615384615384616
Wine,VQNN (Our),0.9789658070036891
Wine,SVM (Baseline),1.0
Wine,VQNN (Our),0.9618342591321223
Wine,SVM (Baseline),0.9615384615384616
Wine,VQNN (Our),0.971663838845648
Wine,SVM (Baseline),1.0
Wine,VQNN (Our),0.9609961922484113
Wine,SVM (Baseline),1.0
Wine,VQNN (Our),0.9842115973156995
Wine,SVM (Baseline),0.9615384615384616
Iris,VQNN (Our),0.9809744008165591
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),1.017784172767634
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),0.9819952679423627
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),0.9899170820651981
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),1.0023381736815478
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),0.9716873452504347
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),1.0316746956232865
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),1.0079045958642348
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),1.001076998699931
Iris,SVM (Baseline),1.0
Iris,VQNN (Our),0.9925705242178495
Iris,SVM (Baseline),1.0
