Dataset,Accuracy,F1,AUC
Breast Cancer,0.6228070175438597,0.7675675675675676,0.3596462495905667
Breast Cancer,0.9473684210526315,0.9594594594594594,0.9908286930887651
Breast Cancer,0.35964912280701755,0.0,0.7328042328042328
Breast Cancer,0.9035087719298246,0.9172932330827067,0.996031746031746
Breast Cancer,0.9203539823008849,0.9333333333333333,0.994299128101945
Wine,0.0,0.0,0.0
Wine,0.6538461538461539,0.5263157894736842,1.0
Wine,0.8846153846153846,0.9032258064516129,1.0
Wine,0.8461538461538461,0.8333333333333334,1.0
Wine,0.6538461538461539,0.7567567567567568,0.4424242424242424
Iris,1.0,1.0,1.0
Iris,0.0,0.0,0.0
Iris,0.35,0.5185185185185185,0.13
Iris,1.0,1.0,1.0
Iris,1.0,1.0,1.0
